Tipo;Plan estabilidad lechero?;Fecha ingreso trámite;Fracciones Artº5;Tipo de negocio;Tipo de negocio;;Nº expediente;Estado de ocupación;Moneda;Precio total;Superficie total(ha);Superficie CONEAT 100 (ha);Mejoras que incluye;Forma de entrega;Forma y plazo pago;Multa por incumplimiento;Padrones
Por Art. 35º;NO;26/07/2022;;Donación;;;2022-70-1-01099;Ocupado;U$S;1;164,7014;265,578;Comprende suelos y mejoras;Se encuentra ocupada por un de los donatarios en calidad de usufructuario sin contrato.Lindero a las fr 12, 16, 9 y 10P Inm 466;No hay;No hay;Flores-> Rural: 3676-3677-3485
Por Art. 35º;NO;20/07/2022;;Compraventa;;;2022-70-1-01069;Libre;U$S;1550466;250,0751;330,7565;Comprende suelos y mejoras;Se entregarán libres conjuntamente con la escritura de compraventa;Contado conjuntamente con la escritura de compraventa;U$S 155.046;Durazno-> Rural: 12177-4640 Florida-> Rural: 2980
Por Art. 5º;NO;20/07/2022;Colonia Pintos Viana Fr 30 inm 3 ;Compraventa;;;2022-70-1-01067;Libre;U$S;105420;37,6489;39,9078;Comprende suelos y mejoras, no incluye semovientes, útiles, herramientas u otros bienes, salvo bomba eléctrica para extracción de agua y toda la instalción sanitaria y eléctrica que permite dicha extracción;Se otorgará al momento de la compraventa;a) U$S 90.000 al momento de la compraventa b) U$S 15.220 se pagarán dentro de un plazo de 6 meses a contar de la compraventa;U$S 25.000;Paysandú-> Rural: 2529
Por Art. 35º;NO;15/07/2022;;Compraventa;;;2022-70-1-01052;Ocupado;U$S;6561396;662,7673;1176,7257;Comprende suelos y mejoras;Se entregará conjuntamente con la escritura de compraventa. Arrendado hasta el 31/05/2023;Contado, conjuntamente con la escritura de compraventa;U$S 656.140;Río Negro-> Rural: 3160
Por Art. 35º;NO;08/07/2022;;Compraventa;;;2022-70-1-01015;Libre;U$S;5732500;1609,916;1239,6353;suelos y mejoras;Se entregará conjuntamente con la escritura de compraventa, libre;Contado en una sola partida con la escritura de compraventa;U$S 573.250;Durazno-> Rural: 12955
Por Art. 35º;NO;07/07/2022;;Compraventa;;;2022-70-1-01010;Ocupado;U$S;7759094;646,5912;1218,8288;'Comprende suelos y mejoras. El bien cuenta con equipo de riego completo que consiste en 2 pivot; galpón de chapa, casa para personal, casa capataz, conteiner, tanque de agua elevado, bomba etc';Se entregará libre al momento de la compraventa. Se encuentra arrendado con contrato vencido el 30/06 no haciendo uso de la prórroga.;a) U$S 4.759.094 al momento de la compraventa y simultánea escritura de hipoteca, b) U$S 1.000.000 al 15/07/2023, c) U$S1.000.000 al 15/07/2024, d) U$S 1.000.000 al 15/07/2025. El saldo de precio no generará interés alguno;U$S 2.000.000;Colonia-> Rural: 8396-3817
Por Art. 35º;NO;06/07/2022;;Compraventa;Compraventa;;2022-70-1-01003;Parcialmente ocupado;U$S;3500355;636,4282;801,8995;Suelos y mejoras;ARRENDADO  por 10 años a contar del 16/09/2020 prorrogables automatimacamente por hasta dos años.-;Al contado en una sola partida .;U$S 350.000;Soriano-> Rural: 12985-12984
Por Art. 5º;NO;05/07/2022;Colonia Italia fr 14C inm 19;Compraventa;;;2022-70-1-00986;Libre;U$S;205000;28,7774;70,5046;Comprende suelos y mejoras;Se entregará libre conjuntamente con el compromiso de compraventa;a) U$S 102.500 conjuntamente con el compromiso de compraventab) U$S 51.250 a los 12 meses del compromiso de compraventac) U$S 51.250 a los 18 meses del compromiso de compraventa;U$S 20.500;San José-> Rural: 15146
Por Art. 35º;NO;05/07/2022;;Compraventa;;;2022-70-1-00995;Parcialmente ocupado;U$S;4087530;908,34;813,2574;Comprende suelos y mejoras;Se entregará conjuntamente con el compromiso de compraventa. 96,5 hás se encuentran arrendadas por un plazo de 10 años a contar del 15/11/2011 prorrogable por 2 años más;a) U$S 3.270.000 con el compromiso de compraventa b) U$S 817.530 con la escritura de compraventa;U$S 408.753;Río Negro-> Rural: 3413-4907
Por Art. 35º;NO;04/07/2022;;Compraventa;;;2022-70-1-00978;Ocupado;U$S;6859871;1224,9769;1592,4699;Se consideran parte del objeto del Boleto de reserva y deberán entregarse en conjunto todos los bienes que le acceden y se encuentran adheridos al inmueble. Se incluyó específicamente la instalación de riego y todos los equipos suplementarios al riego que se detallaran;Se entregará simultáneamente con la escritura de compraventa. Existen contratos de: arrendamiento  hasta el 30/11/2037, comodato al futuro comprador, contrato de capitalización de ganado;a) U$S 3.429.936 simultáneamente con la escritura de compraventab) saldo U$S 3.429.935 se abonará dentro del plazo de un año a contar del otorgamiento de la escritura de compraventa simultáneamente conla escritura de carta de pago total y cancelación de hpoteca. El saldo generará un interés compensatorio del 4,5% anual;U$S 685.987;Paysandú-> Rural: 7820
Por Art. 35º;NO;30/06/2022;;Liquidación de sociedad;;;2022-70-1-00326;Libre;U$S;5463390;956,3168;908,5009;Comprende suelos y mejoras;Se entregarán conjuntamente con la escritura, libres;El precio de la compraventa fue compensado con crédito hipotecario que poseía por todos los inmuebles incluidos en la licitación.;U$S 600.000;Canelones-> Rural: 2190
Por Art. 35º;NO;29/06/2022;;Compraventa;;;2022-70-1-00958;Libre;U$S;11256136;7504,0906;4182,1144;Comprende suelos y mejoras;Libre de ocupantes (salvo acuerdo en contrario de las partes). Los arrendamientos se recindirán previo a la compraventa;Contado al momento de la compraventa;U$S 1.126.000;Salto-> Rural: 5515-5509-3399-5506-5507-641
Por Art. 35º;NO;29/06/2022;;Compraventa;;;2022-70-1-00961;Libre;U$S;2200000;486,705;705,7222;Comprende suelos y mejoras;Al momento de la compraventa. Libre;Contado al momento de la compraventa;U$S 220.000;Paysandú-> Rural: 17
Por Art. 35º;NO;24/06/2022;;Compraventa;;;2022-70-1-00940;Libre;U$S;3435900;458,12;563,4876;Comprende suelos y mejoras;Se entregará conjuntamente con el compromiso de compraventa. Ya se entregaron 143 hás al futuro comprador;i) U$S 2.233.335 al contado al momento del compromiso de compraventa ii) saldo, en 2 cuotas anuales iguales y consecutivas de U$S 601.282,5 cada una, venciendo la primera al año de firmado el compromiso;U$S 343.590;Flores-> Rural: 4647
Por Art. 35º;NO;22/06/2022;;Compraventa;;;2022-70-1-00915;Ocupado;U$S;23468347;7086,5827;6579,6929;Comprende suelos y mejoras;Se entregará conjuntamente con la escritura de compraventa. Existen contratos de Comodato.;En una sola partida al momento de la escritura de compraventa. El precio se integra de la siguiente manera: U$S 3.200 por hás por la tierra, siendo un total de U$S 22.757.185, más U$S 711.162 por la venta de 14 equipos de riego. El precio indicado incluye los derechos posesorios que se enajenan conjuntamente en el mismo negocio, es decir una superficie extra de  25,037608 hás;U$S 2.346.835;Lavalleja-> Rural: 7480-8544-17202-14741-1711-1755-17201-14740-1621-15997-9214-1578-15044-15996-8991-14348-7486-1700-1714-14347-1691-1679-1713-18092-1639-1756-8437-18100-14739-14350-1630-1681
Por Art. 35º;NO;21/06/2022;;Compraventa;;;2022-70-1-00904;Ocupado;U$S;4667210;501,8505;1063,9231;Comprende suelos y mejoras;Se entregarán conjuntamente con la escritura de compraventa, arrendados con contrato vencido;Contado conjunetamente con la escritura de compraventa;U$S 500.000;Río Negro-> Rural: 282-5391
Por Art. 35º;NO;21/06/2022;;Compraventa;;;2022-70-1-00917;Ocupado;U$S;947555;473,7776;454,8264;Comprense suelos y mejoras;El padrón se encuentra arrendado con contrato vencido a la futura compradora;a) U$S 663.289 contado con la escritura de compraventa b) saldo U$S 284.262,20 en 4 cuotas anuales iguale sy consecutivas de U$S 71.066,55 venciendo la primera al año de la compraventa;No existe multa ya que se trata de un negocio familiar;Salto-> Rural: 13228
Por Art. 35º;NO;21/06/2022;;Compraventa;;;2022-70-1-00920;Ocupado;U$S;3146487;524,4146;584,147;Comprende suelos y mejoras;Se entregó el 01/06/2022;i) U$S 3.000.000 en una sola partida simultáneamente con la escritura de compraventa ii) El saldo de U$S 146.487 se documentará con un vale que tendrá un vencimiento de un año a contar de la escritura, sin intéres;U$S 315.000;Soriano-> Rural: 9022-11508
Por Art. 35º;NO;16/06/2022;;Compraventa;;;2022-70-1-00891;Libre;U$S;10717843;2820,4849;3415,4086;Comprende suelos y mejoras, incluyendo galpones existentes ;Se entregarán libres al momento de la escritura de compraventa;Contado conjuntamente con la escritura de compraventa;U$S 1.071.784,26;Salto-> Rural: 9832-10357-8347-9830-9831-8346-1175
Por Art. 35º;NO;16/06/2022;;Compraventa;;;2022-70-1-00893;Libre;U$S;9041178;2897,8134;3998,9825;Todas las construcciones, instalaciones, alambrados y demás accesorios y mrejoras;Se entregarán al momento de la compraventa. Los contratos de arrendamiento se recindieron al 09/03/2022;En una partida conjuntamente con la firma de la escritura de compraventa;U$S 900.000;Tacuarembó-> Rural: 16823-16819-16821-16817
Por Art. 35º;NO;16/06/2022;;Compraventa;;;2019-70-1-00001;Libre;U$S;900000;201,5947;389,0778;Alambrados de ley, alambrados interiores y construcción en mal estado;Se entregará libre conjuntamente con la promesa;a) U$S 150.000 con la promesa de compraventa y autorización del Inc b) U$S 230.000 una vez publicada la sucesión c) U$S 520.000 cuando termine la sucesión;U$S 100.000;Paysandú-> Rural: 7669
Por Art. 35º;NO;15/06/2022;;Compraventa;;;2022-70-1-00877;Libre;U$S;1216605;608,3024;267,6531;Comprende suelos y mejoras;Se entregará simultáneamente con la promesa de compraventa. Libre;a) U$S 608.300 con el compromiso de compraventa b) U$S 608.305 con la escritura de compraventa;U$S 121.660;Treinta y Tres-> Rural: 6688
Por Art. 35º;NO;14/06/2022;;Compraventa;;;2022-70-1-00864;Libre;U$S;3013480;376,685;704,401;Comprende suelos y mejoras;Se entregará conjuntamente con la escritura de compraventa. Libre;En una sola partida con la escritura de compraventa;U$S 301.348;Río Negro-> Rural: 113
Por Art. 35º;NO;14/06/2022;;Compraventa;;;2022-70-1-00866;Libre;U$S;3415000;803,484;554,6148;Comprende suelos y mejoras;Se entregarán libres conjuntamente con la escritura de compraventa;'El precio total es de U$S 3.615.000 de los cuales U$S 200.000 corresponden a los bienes muebles y maquinaria, los cuales se abonaran de la siguiente manera; U$S 2.800.000 dentro del plazo de 60 días a contar del 31/05/2022 y el saldo U$S 815.000 dentro del plazo de un año a contar de la escritura de compraventa, dicho saldo devengará un interés compensatorio de 6,5% anual';U$S 361.500;Treinta y Tres-> Rural: 4985-5301
Por Art. 35º;NO;13/06/2022;;Compraventa;;;2022-70-1-00849;Ocupado;U$S;1067931;175,0706;209,09;Comprende suelos y mejoras;Se encuentra arrendado a la futura compradora por un plazo de 4 años a contar del 02/08/2021;Contado simultáneamente con la escritura de compraventa;U$S 215.337;Colonia-> Rural: 20778
Por Art. 5º;NO;09/06/2022;Colonia Las Delicias inm 222 fr 5B;Compraventa;;;2022-70-1-00831;Libre;U$S;572494;81,7849;145,5771;Comprende suelos y mejoras;Se entregará libre, con la promesa de compraventa;a) U$S 190.000 con la promesa de compraventa b) saldo en 2 partidas iguales anueles y consecutivas de U$S 191.247,15 cada una, venciendo el 30/08/2023 y 30/08/2024;U$S 100.000;Paysandú-> Rural: 7879
Por Art. 35º;NO;08/06/2022;;Compraventa;;;2022-70-1-00834;Libre;U$S;1300000;192,573;286,9337;Fracción de campo con alambrados externos e internos, mojones, divisiones, que contiene y le acceden y demás mejoras sin excepción;Se entregarán simultáneamente a la compraventa e hipotece. Libre;Se abonará simultáneamente con la escritura de compraventa;U$S 130.000;Florida-> Rural: 1205
Por Art. 35º;NO;01/06/2022;;Compraventa;;;2022-70-1-00786;Ocupado;U$S;2764146;789,756;501,849;Comprende suelos y mejoras;Se entregará conjuntamente con la escritura, arrendados (con contrato vencido) al futuro comprador;Contado al momento de la escritura de compraventa;U$S 276.146;Durazno-> Rural: 9525-2129-9492-11978
Por Art. 35º;NO;31/05/2022;;Compraventa;;;2022-70-1-00784;Ocupado;U$S;777078;151,6248;244,1576;Suelos y mejoras;Se encuentran arrendados con plazo hasta el 01/01/2023;Padrón 6474 U$S 218.887,77 conjuntamente con la escrituraPadrón U$S 558.190, se entregó junto con la promesa de compraventa U$S 200.000 y el saldo U$S 358.190 conjuntamente con la escritura definitiva;Padrón 6474 U$S 20.000PAdrón 6712 U$S 279.095;Florida-> Rural: 6474-6712
Por Art. 35º;NO;31/05/2022;;Compraventa;;;2022-70-1-00780;Libre;U$S;4038347;1302,6925;1267,1119;Comprende suelos y mejoras;Se entregarán libres conjuntamente con la escritura de compraventa;1) U$S 403.834 se depositaron al momento del boleto de reserva por concepto de seña 2) U$S 3.635.370,75 al momento de la escritura de compraventa;U$S 403.834;Cerro Largo-> Rural: 6008-11740-6054
Por Art. 35º;NO;27/05/2022;;Compraventa;;;2022-70-1-00745;Ocupado;U$S;2500000;277,22;393,2317;El inmueble no contiene otras mejoras que los alambrados perimetrales;Se entregarán conjuntamente con la escritura de compraventa. Arrendados hasta el 10/10/2023;Conjuntamente con la escritura;U$S 250.000;Colonia-> Rural: 11842-11841
Por Art. 35º;NO;26/05/2022;;Compraventa;Compraventa;;2022-70-1-00720;Libre;U$S;583000;106;102,82;Suelos y Mejoras;Libre;Al contado cojuntamente con la escritura definitiva;U$S 30.000;Canelones-> Rural: 2538
Por Art. 35º;NO;26/05/2022;;Compraventa;;;2022-70-1-00725;Libre;U$S;834542;177,5623;160,1867;Comprende suelos y mejoras;Se entregará libres;Pago de deuda contraída por el propietario con el adquiriente. Dación en pago;No se pacto;Canelones-> Rural: 5600-39181-35121
Por Art. 5º;NO;24/05/2022;Colonia Italia inm 19 fr 103A2;Compraventa;;;2022-70-1-00706;Libre;U$S;100000;9,0958;19,465;No hay mejoras, a excepción de un pequeño conjunto de árboles, quedando la totalidad de la existencias comprendidas en el negocio;La entrega será conjuntamente con la compraventa;a) U$S 35.000 con la escritura de compraventa b) U$S 65.000  en 2 partidas. La primera de U$S 35.000 a los 12 meses de la escritura y la segunda de U$S 30.000 a los 18 meses de la escritura;U$S 10.000;San José-> Rural: 15404
Por Art. 35º;NO;24/05/2022;;Compraventa;;;2022-70-1-00707;Ocupado;U$S;2399259;682,501;774,6177;Comprende suelos y mejoras;Se entregará a los 60 días del compromiso de compraventa;a) U$S 1.199.629,55;U$S 239.926;Rivera-> Rural: 12620-11257-12619
Por Art. 5º;NO;23/05/2022;COL LA CONCORDIA-INM.22-PADS.: 5093 Y 9621-FRAC.Nº 85;Compraventa;Compraventa;;2022-70-1-00697;Libre;U$S;2000000;252,8385;104,1856;Suelos y Mejoras;Libre;En una sola partida al momento de suscribirse la escritura de compraventa;U$S 200.000;Soriano-> Rural: 9621-5093
Por Art. 5º;NO;20/05/2022;Colonia La Concordia  inm 22 Fr 21 y 31B;Compraventa;;;2022-70-1-00689;Ocupado;U$S;1310000;170,94;174,4555;La operación NO comprende suelos y mejoras;Los padrones se encuentran arrendados con plazo hasta el 01/06/2022.Se entregarán dentro del plazo de 180 días a contar del boleto de reserva;a) U$S 30.000 se hizo efectivo mediante transferiencia electrónica.b) U$S 1.280.000 conjuntamente con la escritura de compraventa;U$S 131.000;Soriano-> Rural: 5030-9038
Por Art. 35º;NO;20/05/2022;;Compraventa;;;2022-70-1-00691;Libre;U$S;499055;99,8768;131,3356;Comprende suelos y mejoras;Se entregará conjuntamente con la escritura de compraventa;Contado conjuntamenten con la escritura de compraventa;U$S 50.000;Canelones-> Rural: 30974-5574-5654
Por Art. 35º;NO;18/05/2022;;Compraventa;;;2022-70-1-00663;Libre;U$S;4700000;783,7009;505,2486;Comprende suelos y mejoras;Se entregarán conjuntamente con la escritura de compraventa, libres;Contado, con la escritura de compraventa;U$S 470.000;Cerro Largo-> Rural: 10266-15928-1932-1901-6599-15929-9907-9154-1860
Por Art. 35º;NO;17/05/2022;;Compraventa;;;2022-70-1-00652;Libre;U$S;5853392;1984,2005;1491,3724;suelos y mejoras;Se entregará libres conjuntamente con la escritura de compraventa;Contado conjuntamente con la escritura de compraventa;U$S 292.669,57;Treinta y Tres-> Rural: 801-6134-5927-1284-1113-6322-6132-4705-1114-6323
Por Art. 35º;NO;13/05/2022;;Compraventa;;;2022-70-1-00646;Libre;U$S;8600000;2266,42;1827,9288;Suelos, mejoras y bosques;Libres conjuntamente con la escritura de compraventa;Contado conjuntamente con la escritura de compraventa;U$S 860.000;Lavalleja-> Rural: 15949-15946
Por Art. 35º;NO;13/05/2022;;Compraventa;;;2022-70-1-00647;Ocupado;U$S;18000000;8599,6665;6513,5854;Comprende suelos y mejoras;Se entregarán conjuntamente con la escritura de compraventa, arrendados;Contado en una sola partida conjuntamente con la escritura de compraventa;U$S 1.800.000;Lavalleja-> Rural: 1769-9356
Por Art. 35º;NO;13/05/2022;;Compraventa;;;2022-70-1-00648;Libre;U$S;2533698;422,4504;529,3236;Suelos y mejoras;Se entregarán simultáneamente con la compraventa. Libres;Contado simultáneamente con la compraventa;U$S 250.000;Canelones-> Rural: 5541-52435-23557-52430-17813-53659-52428-53653-52425-51254-39619-52434-19160-53661-52429-53658-52427-53652
Por Art. 35º;NO;12/05/2022;;Compraventa;Compraventa;;2022-70-1-00116;Ocupado;U$S;1750000;701,635;567,8615;Suelos y Mejoras;Arrendado desde 2015 y por 10 años;U$S 350.000 conjuntamente con el compromiso de compraventa.Saldo con la escritura de compraventa.;U$S170.000;Paysandú-> Rural: 6426
Por Art. 35º;NO;12/05/2022;;Compraventa;;;2022-70-1-00637;Ocupado;U$S;350000;110,6821;212,5098;Comprende suelos y mejoras;El inmueble se entregará conjuntamente con la compraventa. Se encuentra arrendado por 5 años a contar del 01/07/2018.;Contado, dentro de los 45 días a contar del 28/04/2022;No se pactó;Canelones-> Rural: 23793
Por Art. 35º;NO;12/05/2022;;Enajenación forzosa;;;2022-70-1-00642;Parcialmente ocupado;U$S;7175022;3092,6817;2814,3403;Compende suelos y mejora;El plazo de entrega y estado ocupacional del bien al moemnto de la entrega deberá estarse a lo dispuesto en los art 388.2 y 396 del CGP;El plazo para la escrituración es de 30 días contados desde la aprobación del precio conforme el Art 387.7 del CGPHipotecado;No hay - Remate;Artigas-> Rural: 3213
Por Art. 35º;NO;12/05/2022;;Compraventa;;;2022-70-1-00634;Parcialmente ocupado;U$S;2700000;839;746,71;Comprende suelos y mejoras;Se entregará conjuntamente con la escritura de compraventa. 770 hás se encuentran arrendadas por 2 años a contar del 01/09/2019 prorrogable por un año más;a) U$S 850.000 conjuntamente con la promesa de compraventa b) U$S 1.850.000 con la escritura definitiva;U$S 270.000;Tacuarembó-> Rural: 15434
Por Art. 35º;NO;11/05/2022;;Compraventa;Compraventa;;2022-70-1-00628;Libre;U$S;2300000;604;670,44;Suelos y mejoras;Libre;Al contado en una sola partida conjuntamente con el otorgamiento de la escritura de compraventa.;U$S 500.000;Florida-> Rural: 19228-19229
Por Art. 35º;NO;10/05/2022;;Compraventa;;;2022-70-1-00621;Ocupado;U$S;2950000;1047,4;627,74;Comprende suelos, mejoras, construcciones si la hubiera y los bosques implantados;Se entregarán conjuntamente con la escritura de compraventa. Con contrato de arrendamiento vigente hasta 30/06/2022;En una sola partida simultánemente con la escritura de compraventa;U$S 295.000;Rocha-> Rural: 28010-40304-6521-62458-6192-27170-40305-4104-62459-61872-40256
Por Art. 35º;NO;10/05/2022;;Compraventa;Compraventa;;2022-70-1-00622;Parcialmente ocupado;U$S;2623645;632,2036;638,247;Suelos y Mejoras;Arrendadas 48 hás.del Padrón 982 por un plazo entre 22 y 24 años.;Al contado en una sola partida al momento de otorgarse la compraventa proyectada;U$S 524.729;Río Negro-> Rural: 982-967-998
Por Art. 35º;NO;10/05/2022;;Compraventa;;;2022-70-1-00625;Ocupado;U$S;10200000;1133,5924;1001,0564;Suelos y mejoras;Se entregarán conjuntamente con la escritura de compraventa. Arrendados hasta el 28/02/2037;En una sola partida conjuntamente con la escritura de compraventa;U$S 1.020.000;Maldonado-> Rural: 32082-1400-1358-4487-1370-1347
Por Art. 5º;NO;10/05/2022;COL.ITALIA-INM.19-FRAC.28 A1-PAD.nº 4918;Compraventa;Compraventa;;2022-70-1-00627;Libre;U$S;160000;19,9204;45,0201;Suelos y mejoras;Libre;Al contado  en el momento de otorgarse la escritura de compraventa;No se estableció;San José-> Rural: 4918
Por Art. 35º;NO;09/05/2022;;Compraventa;Compraventa;;2022-70-1-00610;Libre;U$S;1704461;405,824;385,5328;Suelos y Mejoras;libre;Al contado en una sola partida simultáneamente con la firma de la Compraventa y entrega del bien;U$S 170.000;Florida-> Rural: 3492
Por Art. 35º;NO;06/05/2022;;Compraventa;;;2022-70-1-00602;Libre;U$S;8933613;3691,5757;2882,3906;Comprende suelos y mejoras;Se netregarán libres conjuntamente con la escritura de comrpaventa;Contado con la escritura de compraventa;U$S 893.361;Paysandú-> Rural: 5861-8717
Por Art. 5º;NO;06/05/2022;COL.ITALIA--INM.19-PADRÓN 12371-FRAC.Nº 71B4;Compraventa;;;2022-70-1-00607;Libre;U$S;25000;4,6;7,958;Suelos y mejoras;Libre;Al contado;U$S 2500;San José-> Rural: 12371
Por Art. 35º;NO;06/05/2022;;Compraventa;;;2022-70-1-00601;Ocupado;U$S;3605257;901,3143;506,6534;Comprende suelos y mejoras;Se encuentran ocupados a título de comodato verbal hasta el 30/06/2022. Se entregará libre.;Contado conjuntamente con la escritura de compraventa;U$S 360.000;Cerro Largo-> Rural: 1667-18052
Por Art. 35º;NO;05/05/2022;;Compraventa;Compraventa;;2022-70-1-00594;Ocupado;U$S;2514600;538,4396;662,31;Suelos y mejoras;Arrendados;Al contado en una sola partida simultáneamente  con el otorgamiento y suscripción por las partes de la respectiva compraventa;U$S 251.460;Durazno-> Rural: 9593-406-9290-9291
Por Art. 5º;NO;02/05/2022;Colonia Agraciada FR 1 y 2;Enajenación forzosa;;;2021-70-1-00321;Libre;U$S;455000;56,8099;51,9001;No hay datos;Se desconoce el estado de ocupación;La momento del remate se entregaron U$S 183.347, más U$S 16.653 de gastos del remate. U$S 271.653 fueron depositados a la orden del expediente una vez que se aprobo el remate;No hay;Soriano-> Rural: 4823-4824
Por Art. 35º;NO;29/04/2022;;Compraventa;;;2022-70-1-00562;Ocupado;U$S;2716800;566;1001,703;Comprende suelos y mejoras;Se encuentran arrendados;a) U$S 1.811.200 conjuntamente con la promesa de compraventa b) saldo U$S 905.600 conjuntamente con la escritura de compraventa;U$S 500.000;Durazno-> Rural: 516-3095-515
Por Art. 35º;NO;28/04/2022;;Compraventa;;;2022-70-1-00556;Ocupado;U$S;2223132;504,039;529,6392;La operación comprende suelos y mejoras;La entrega de los bienes se hará conjuntamente con la escritura de compraventa.  170 hás arrendadas hasta el 30/05/2022. 95 hás del padron 1149 arrandado hasta el 31/12/2040;a) U$S 1.111.566 simultáneamente con la  escritura de compraventa. De dicho importe se descontará la suma correspondiente a las 7 anualidades abonadas por adelantado por el arrendatario. b) U$S 555.783 a los 12 meses de la compraventa garantizado con hipoteca;U$S 222.313;Río Negro-> Rural: 1149-7019
Por Art. 35º;NO;27/04/2022;;Compraventa;;;2022-70-1-00543;Ocupado;U$S;25650604;9302,93;7401,16;Comprende suelos y mejoras;Los inmuebles permanecerán ocupados hasta el 15/11/2022 bajo un contrato de comodato gratuito. Los contratos de arrendamiento de rescindirán previo a la celebración de la compraventa;Contado al momento de la escritura de comraventa;U$S 2.650.604;Rivera-> Rural: 8607-10756-8597-10754-3466-10668-8603-11746-8599-10755-7793-10753-1863-8604-8608-11758-8601
Por Art. 35º;NO;26/04/2022;;Compraventa;;;2022-70-1-00526;Ocupado;U$S;10000000;1594,5786;1985,7851;Comprende suelos y mejoras. Dentro del precio se encuentran incluidas instalaciones inmuebles, pivots, tomas de agua, represa, canales,acueductos, estaciones de bombeo etc. cuyo valor se estima en U$S 200.000;Se entregará conjuntamente con la escritura de compravbenta. Un área de 717 hás se encuentran arrendadas de un año a contar del 01/06/2021;Contado en una sola partida conjuntamente con la escritura de compraventa;U$S 1.000.000;Soriano-> Rural: 1876-7754-7772-3022-3023-5467-1873-7753
Por Art. 35º;NO;22/04/2022;;Compraventa;;;2022-70-1-00515;Libre;U$S;1126443;204,8079;230,2166;Comprende suelos y mejoras;Se entregará conjuntamente con la escritura, libres;Contado conjuntamente con la escritura de compraventa;U$S 112.600;Florida-> Rural: 1089-7174-1149-1090-7519-7163
Por Art. 35º;NO;20/04/2022;;Compraventa;;;2022-70-1-00502;Libre;U$S;5326469;1024,3209;1107,4723;Suelos y mejoras;Se entregará libres conjuntamente con la escritura de compraventa. Se encuentran hipotecados;Contado conjuntamente con la escritura de compraventa;U$S 603.793;Colonia-> Rural: 12718-3159-12717
Por Art. 35º;NO;19/04/2022;;Compraventa;;;2022-70-1-00491;Ocupado;U$S;2722531;626,9517;880,47;No comprende suelos y mejoras;Se entregará conjuntamente con la escritura de compraventa. Arrendados por un plazo vigente hasta el 27/04/2022 prorrogable;Contado conjuntamente con la escritura;U$S 272.000;Durazno-> Rural: 3421-8
Por Art. 35º;NO;08/04/2022;;Compraventa;;;2022-70-1-00487;Ocupado;U$S;4000000;509,2476;549,9792;Comprende suelos y mejoras;Se entregará conjuntamente con la escritura de compraventa. Arrendado;Contado con la escritura de compraventa;U$S 800.000;Soriano-> Rural: 463
Por Art. 35º;NO;07/04/2022;;Compraventa;;;2022-70-1-00469;Libre;U$S;8749308;1988,4791;2298,635;Comprende suelos y mejores ;Se entregarán libres, simultáneamente con la escritura de compraventa;Contado en una sola partida conjuntamente con la escritura de compraventa;U$S 924.643;Florida-> Rural: 7171-13490-3746-13488-3735-7836-3732-7187-13826-6416-13489-3737-10340-3734-7711-15764
Por Art. 35º;NO;07/04/2022;;Compraventa;Compraventa;;2022-70-1-00468;Libre;U$S;5039484;1326,1802;1212,2633;Suelos y mejoras;Libre;a) Con la suma de U$s2.519742al momento de otorgarse la escritura de compraventa en el plazo de 180 días a contar desde el 22/1/2022, que se integrará con un préstamo del BROU y b) El saldo, o sea la suma de U$s2519,742, en el plazo de un año a contar desde el otorgamiento de compraventa.;U$S 500.000;Río Negro-> Rural: 4776-1282-606-6332
Por Art. 35º;NO;06/04/2022;;Compraventa;;;2022-70-1-00457;Ocupado;U$S;3221458;684,4102;680,6667;Comprende suelos y mejoras;Arrendados hasta el 30/06/2023;a) U$S 2.000.000 al momento de la escritura e hipoteca de saldo. b) saldo U$S 1.221.458 se pagarán en 3 cuotas iguales anuales y consecutivas de U$S 407.153 cada una venciendo la primera al año de la compraventa;U$S 322.146;Florida-> Rural: 819-13582
Por Art. 35º;NO;06/04/2022;;Compraventa;;;2022-70-1-00458;Ocupado;U$S;6090682;1368,6926;1856,3413;Comprende suelos y mejoras;Se entregarán simultáneamente con la compraventa, arrendados por un plazo que vence el 31/12/2023;Contado conjuntamente con la compraventa. En caso de la nueva mensura del padrón 10174 a realizarse en forma previa a la compraventa, resultare una variación de la superficie, el precio pactado se ajustará en consecuencia tomando el precio por há acordado.;U$S 609.068;Paysandú-> Rural: 1155-10418-10173-2584-10419-10174-10168
Por Art. 5º;NO;06/04/2022;Colonia Larrañaga Inm 13 Fr 9h y 9E;Compraventa;;;2022-70-1-00460;Libre;U$S;82000;11,1924;20,3703;Suelos y mejoras;Se entregarán libres conjuntamente con el compromiso de compraventa;a) U$S 10.000 depositados en carácter de seña b) U$S 25.000 con el compromiso c) U$S 47.000 con la escritura;U$S 10.000;Soriano-> Rural: 8709-8712
Por Art. 35º;NO;05/04/2022;;Compraventa;Compraventa;;2022-70-1-00441;Libre;U$S;3316816;921,7918;765,1501;Suelos y Mejoras;Libre;En una sola partida simultáneamente al otorgamiento de la compraventa y la entrega de los Inmuebles;U$S 497.522;Durazno-> Rural: 8027-7918
